,2000s,2010s,1990s,1970s,1980s
beam,617,284,14,7,5
beamer,81,111,1,0,0
beaming,110,66,2,1,2
beams,477,158,18,2,3
bean,215,73,6,0,0
beanie,84,56,1,0,0
beans,411,158,9,5,1
bear,2182,812,104,28,22
beard,254,146,13,0,1
bearing,280,97,4,2,3
bears,366,167,20,2,2
beast,1756,955,61,10,11
beasts,302,88,12,1,1
beat,12016,6775,530,55,94
beaten,572,233,15,5,3
beater,79,37,0,0,0
beatin,508,185,16,0,1
beating,1897,1269,64,10,16
beatles,151,67,5,1,0
beats,2514,1503,150,8,19
beau,128,38,10,1,0
beautiful,9678,5574,272,86,32
beautifully,119,69,4,1,0
beauty,3518,1519,109,25,51
beautys,74,36,1,2,0
beaver,106,24,3,0,0
became,1479,740,58,11,11
beckon,106,25,1,2,2
beckoning,123,25,1,0,1
beckons,101,34,2,1,0
become,4928,2335,155,32,39
becomes,1401,415,56,6,13
becoming,546,339,24,2,3
bed,9086,4182,430,104,79
bedroom,1109,595,30,6,4
beds,359,175,9,4,3
bedside,116,23,4,0,1
bedtime,112,48,2,2,0
bee,789,409,41,7,8
beef,1605,473,29,0,2
beefin,123,39,4,0,0
beenie,160,23,0,0,0
beep,622,988,17,16,20
beeper,102,44,5,0,0
beer,2291,871,85,15,15
beers,242,104,4,0,3
bees,574,215,18,4,1
beethoven,109,22,27,1,0
befo,114,24,3,0,0
beg,1918,799,87,19,23
began,1933,708,116,20,26
beggar,187,52,12,0,0
beggars,149,53,17,3,3
begged,301,134,12,3,2
beggin,610,185,25,5,6
begging,1383,964,62,9,10
begin,3989,1722,165,32,49
beginner,61,54,5,0,1
beginners,73,43,2,0,0
beginnin,145,46,5,1,0
beginning,2185,1120,105,24,22
beginnings,105,79,3,2,1
begins,1942,824,92,18,18
begs,131,51,2,2,0
begun,2085,780,90,24,21
behalf,93,30,1,0,0
behave,336,232,15,3,5
behavior,305,138,22,4,1
behaviour,98,45,2,0,0
behind,14830,5892,528,159,142
behold,1025,347,46,5,1
bein,1440,361,44,16,7
beings,324,93,10,1,1
beleive,104,16,0,1,0
belief,750,233,24,9,9
beliefs,338,109,5,2,0
believe,30100,12787,1065,291,218
believed,1435,668,51,6,15
believer,508,358,6,5,18
believers,254,152,17,8,1
believes,546,213,23,7,3
believin,337,115,10,7,16
believing,1340,716,48,22,12
belive,174,37,1,0,0
bell,1904,704,68,15,27
bella,165,107,1,1,0
belle,209,75,14,9,1
bells,2621,942,176,22,27
belly,917,328,39,5,5
belong,4433,2396,205,34,30
belonged,207,93,8,2,9
belongs,1109,395,49,5,13
beloved,344,110,4,0,5
belt,555,294,18,5,1
belts,94,34,3,0,1
ben,336,168,4,0,1
bench,285,157,16,1,0
bend,1977,943,111,29,25
bended,253,97,8,6,3
bendin,138,55,4,2,7
bending,236,125,7,3,6
bends,181,88,6,0,2
beneath,3279,1303,113,18,37
benefit,206,62,7,2,0
benefits,101,54,2,0,1
benjamin,65,58,0,0,0
benjamins,66,62,4,0,0
bent,772,346,29,7,3
bentley,323,255,1,0,0
benz,998,616,24,1,1
berlin,247,62,17,1,11
bernie,37,98,2,0,1
berries,73,36,4,0,2
berry,156,75,9,0,1
berserk,84,38,3,0,0
bes,128,25,5,0,2
beside,3399,1366,154,35,25
besides,497,161,16,8,3
best,16966,9156,646,112,128
bet,4247,2684,154,59,29
betcha,351,218,15,5,0
bethlehem,415,168,35,16,2
betray,422,148,20,1,1
betrayal,245,117,5,1,0
betrayed,637,241,18,0,6
bets,223,102,9,1,6
betta,901,232,21,0,0
better,32338,17235,1456,327,260
betting,115,45,8,0,0
betty,378,106,10,3,3
betweens,114,12,7,0,2
beverly,128,44,5,1,2
beware,1037,288,34,34,8
bewildered,130,71,6,0,3
bewitched,127,55,1,0,3
beyonce,140,114,0,0,0
beyond,4831,1706,140,30,29
bi,187,209,5,0,1
biatch,152,31,9,0,0
bible,935,394,39,5,8
bibles,92,28,0,0,0
bicycle,109,47,9,2,0
bid,436,161,31,1,3
biddy,53,61,4,0,0
bide,104,41,7,0,1
biding,67,44,5,2,0
bids,100,31,3,0,0
bien,181,45,21,6,0
big,21545,9243,890,172,239
bigga,97,22,5,0,0
bigger,2010,1075,66,2,11
biggest,995,466,34,2,11
biggie,352,455,7,0,0
bike,488,228,8,1,1
bikes,162,68,3,0,0
bikini,74,96,5,3,0
bile,113,20,0,0,1
bill,1799,706,101,11,10
billboard,146,52,5,0,3
billie,91,53,4,4,0
billion,358,222,9,3,3
billions,116,48,0,0,0
bills,1260,582,78,6,4
billy,1270,300,89,11,7
bin,277,106,5,0,2
bind,549,207,19,9,4
binding,74,39,2,1,0
binds,154,41,2,1,2
bing,180,149,2,0,0
bingo,124,43,13,2,1
bird,2788,1172,185,43,13
birdman,234,73,0,1,0
birds,2503,1280,94,38,19
birmingham,195,45,2,3,0
birth,1660,526,62,14,3
birthday,1010,705,48,15,7
bis,126,24,8,0,1
biscuit,114,42,1,5,1
biscuits,101,33,1,1,0
bishop,86,41,4,1,0
bit,7049,3581,262,89,51
bitch,13894,13653,582,18,12
bitches,5068,5554,171,3,0
bitchin,159,83,8,0,1
bitching,64,50,3,0,2
bitchs,86,27,0,0,0
bite,2357,1291,87,8,20
bites,296,134,11,7,6
bitin,160,49,1,0,0
biting,316,125,12,0,3
bits,374,128,9,8,8
bitten,180,54,7,7,1
bitter,2249,865,52,27,22
bitterness,284,88,11,1,0
bittersweet,293,229,8,1,1
bitty,392,125,6,1,4
biz,758,135,29,1,0
bizarre,343,62,4,2,4
bizzy,458,38,0,0,0
bk,83,34,1,0,0
bla,94,105,2,0,0
black,18416,7785,916,162,120
blackbird,135,153,12,0,5
blacked,89,71,1,0,0
blackened,471,147,10,1,3
blacker,134,52,9,0,1
blackest,218,49,4,0,4
blackness,298,100,10,0,2
blackout,202,88,2,5,7
blacks,222,79,22,4,2
