,2000s,2010s,1990s,1970s,1980s
shaped,272,122,12,0,2
shapes,348,122,15,2,2
shaq,91,38,2,0,0
shards,114,34,1,0,0
share,4930,2004,230,51,109
shared,1196,395,57,10,6
shares,130,44,4,1,0
sharin,103,23,9,1,1
sharing,602,225,40,5,3
shark,393,184,9,2,6
sharks,238,161,6,0,1
sharp,885,328,48,2,8
sharpen,110,82,6,0,3
sharpened,124,55,10,2,0
sharper,116,35,0,1,0
shatter,424,169,16,1,2
shattered,1118,539,49,7,9
shattering,99,45,2,0,1
shatters,109,47,2,0,0
shave,249,60,7,1,1
shaved,119,38,4,1,1
shawn,111,28,3,0,0
shawty,1277,1628,0,0,0
shed,3708,1237,189,34,47
shedding,157,67,8,0,0
sheds,87,22,3,0,1
sheep,907,320,70,3,9
sheer,157,46,5,2,0
sheet,330,90,13,0,3
sheets,1114,632,44,6,7
shelf,790,360,38,14,9
shell,5271,2004,237,59,52
shells,554,141,14,4,3
shelter,1356,569,85,12,13
sheltered,134,59,7,2,1
shelves,91,27,5,0,0
shepherd,212,131,16,2,1
shepherds,281,122,22,3,1
sheriff,240,75,37,25,13
sherry,79,51,1,0,1
shh,193,160,23,0,0
shhh,130,37,4,0,2
shi,78,99,0,0,0
shield,432,217,15,8,4
shields,141,18,2,0,2
shift,624,331,19,4,2
shifted,81,37,1,0,0
shifting,307,102,9,7,0
shifts,90,57,3,0,0
shimmer,93,43,1,0,0
shimmering,125,74,11,1,2
shimmy,190,98,9,1,0
shine,9747,4785,418,83,99
shined,211,103,10,4,0
shines,2137,829,67,27,45
shinin,803,291,47,7,2
shining,4197,2150,193,69,34
shinning,138,62,17,0,1
shiny,712,253,42,5,4
ship,2146,974,96,17,17
ships,738,272,39,6,12
shirley,139,7,5,0,0
shirt,1643,818,39,6,6
shirts,412,166,19,2,4
shit,28617,18042,862,39,33
shitll,87,34,1,0,0
shits,624,428,30,0,1
shittin,308,58,2,0,0
shitting,58,69,2,0,0
shitty,279,116,10,0,1
shiver,555,224,11,14,3
shivering,212,65,2,0,0
shivers,237,90,10,1,7
sho,885,178,13,12,3
shock,1089,388,23,21,10
shocked,322,92,10,0,1
shocking,152,37,3,0,5
shoe,877,427,32,17,11
shoes,4578,2092,239,93,55
shone,324,95,10,3,3
shoo,217,155,27,0,2
shook,1028,423,87,12,15
shoop,208,79,0,0,2
shoot,3842,2074,173,37,49
shooter,182,136,3,0,5
shooters,63,179,1,0,0
shootin,665,269,16,6,6
shooting,1129,755,40,10,30
shoots,182,70,6,2,0
shop,1272,514,58,5,9
shoppin,185,77,3,1,0
shopping,631,253,15,1,2
shops,150,33,3,3,2
shore,1890,856,107,21,17
shoreline,110,41,10,1,0
shores,476,139,21,1,5
short,2853,1149,130,35,18
shorter,225,67,8,1,0
shorties,128,23,5,0,0
shorts,250,112,7,0,2
shorty,1774,827,28,0,0
shortys,103,20,2,0,0
shot,6307,3176,267,27,45
shotgun,671,279,36,7,4
shots,1834,1349,37,0,4
shotty,94,74,0,0,0
shoulda,1010,524,39,0,4
shoulder,2240,1116,104,31,35
shoulders,994,672,45,13,10
shout,3392,1931,215,27,66
shouted,204,55,13,5,2
shoutin,161,52,4,2,2
shouting,431,210,24,12,3
shouts,272,124,13,6,1
shove,933,276,23,2,2
shoved,133,36,5,1,3
shovel,240,143,8,0,1
show,24935,13401,862,299,209
showdown,166,56,7,3,3
showed,1656,702,47,26,19
shower,753,390,37,7,9
showers,202,96,2,2,4
showin,665,189,17,2,8
showing,1066,621,38,11,4
shown,815,339,19,9,11
shows,2130,974,65,24,20
shred,128,34,3,0,0
shredded,94,22,1,1,0
shreds,186,69,9,0,2
shrimp,120,57,0,0,1
shrine,158,61,3,3,4
shrink,195,78,8,1,1
shroud,184,38,3,0,1
shrouded,102,23,2,2,0
shrug,73,64,1,3,1
shudder,93,30,3,0,1
shuffle,248,96,8,4,17
shun,105,22,3,0,0
shut,4337,2560,141,19,26
shuts,100,71,4,0,2
shutting,115,85,6,0,0
shy,1262,605,41,11,5
si,736,402,38,13,1
siamese,88,62,1,1,0
sic,67,46,7,0,0
sick,6859,3162,227,34,50
sickened,124,16,4,0,0
sickening,198,58,5,0,2
sicker,156,98,1,0,0
sickest,64,54,1,0,0
sickly,99,36,0,3,0
sickness,738,280,20,1,4
side,18515,9366,694,111,149
sided,95,28,6,0,0
sides,953,389,48,5,11
sidewalk,498,147,14,2,2
sidewalks,206,33,17,1,1
sideways,319,261,19,1,0
sierra,60,44,1,1,49
sifting,86,29,1,3,0
sigh,1178,474,91,14,19
sighed,126,38,11,2,0
sighing,153,63,8,8,3
sighs,401,150,18,9,5
sight,5380,2230,238,103,42
sights,631,251,24,1,8
sign,5177,2121,186,40,72
signal,343,164,9,0,3
signals,233,87,4,0,0
signed,639,296,15,5,7
signing,124,62,1,1,1
signs,2046,982,62,11,27
silence,5120,1986,146,19,19
silenced,121,44,4,0,0
silent,3335,1013,123,36,22
silently,507,169,12,9,8
silhouette,291,187,4,0,0
silhouettes,159,125,3,0,11
silk,419,142,32,7,6
silky,92,34,9,2,0
sill,157,36,11,2,3
silly,1684,625,56,13,13
silver,3144,1095,232,65,30
silvery,129,32,2,8,0
similar,239,101,7,0,1
simmer,64,51,59,0,1
simmons,148,36,4,0,1
simon,239,47,9,4,0
simple,3712,1471,170,34,34
simplicity,121,40,5,0,0
simply,1427,536,51,41,8
sin,4327,1595,149,27,35
sinatra,47,77,4,0,1
since,10232,5002,491,100,113
sincere,456,193,16,15,8
sincerely,164,59,6,10,1
sincerity,132,26,3,0,0
sinful,207,45,4,2,1
sing,16132,8075,743,142,162
singer,577,185,20,5,4
singers,260,93,10,1,5
singin,1649,740,114,48,10
singing,4841,3334,211,76,64
single,3814,2204,123,50,18
singles,74,55,4,1,1
sings,1456,651,61,11,16
sinister,239,76,4,1,4
sink,1526,903,47,7,19
sinkin,220,63,11,0,2
sinking,1390,742,55,8,3
sinks,207,90,19,0,1
sinned,160,55,8,1,2
sinner,599,397,17,6,4
sinners,527,271,21,2,5
sinning,74,41,3,0,1
sins,1646,776,51,7,8
sip,976,757,28,1,9
sippin,846,646,21,1,1
sipping,349,544,6,2,4
sips,73,40,5,1,1
sir,1232,549,65,16,4
siren,278,143,9,1,1
sirens,584,305,20,6,6
sis,122,46,4,0,0
sista,171,25,51,0,0
sister,2916,1067,157,62,49
sisters,1199,458,86,20,19
sit,8328,3284,335,57,84
site,281,108,2,1,1
sits,836,270,30,7,9
sittin,2446,832,121,32,9
sitting,3730,1897,170,32,33
situation,1918,608,55,13,26
situations,379,98,15,2,11
six,4524,1798,186,28,29
sixteen,799,286,39,23,2
sixth,129,50,11,0,3
sixty,570,158,21,7,2
size,1378,440,48,8,5
sized,116,37,6,0,2
ska,111,22,1,0,0
skate,265,131,3,0,4
skateboard,70,51,1,0,1
skates,76,41,1,5,0
skating,107,46,2,3,1
skeet,118,60,2,0,0
skeleton,218,85,2,0,1
skeletons,186,136,11,0,2
skelter,99,25,11,1,1
sketch,72,47,1,0,18
ski,205,112,6,0,0
skid,101,32,0,1,1
skies,3884,1716,178,38,51
skill,378,114,16,1,2
skills,654,172,81,0,1
skin,7279,3042,211,28,50
skinned,177,135,8,1,2
skinny,568,376,11,5,2
skins,342,72,15,2,2
skip,595,471,28,9,11
skipped,118,55,5,0,0
skippin,87,37,4,1,1
skipping,183,150,10,2,1
skips,165,66,3,0,1
skirt,444,274,27,1,2
skirts,287,71,8,0,1
skull,667,184,9,2,8
skulls,202,73,5,0,0
skunk,171,50,5,3,1
sky,17651,8807,806,172,187
skyline,233,132,16,0,7
skys,296,147,13,2,1
slab,174,54,3,0,0
slack,312,109,7,1,2
slain,317,92,13,0,1
slam,725,287,23,1,5
slammed,193,58,5,0,2
slammin,136,38,9,0,3
slamming,148,77,10,2,1
slang,619,164,36,1,1
slangin,268,51,4,0,0
slanging,75,49,1,0,0
slap,960,373,27,2,9
slapped,312,83,13,0,3
slappin,97,30,3,0,0
slash,312,97,5,6,1
slate,155,70,7,1,0
slaughter,670,255,7,3,7
slaughtered,169,30,7,1,2
slave,1638,626,90,21,17
slavery,247,100,8,2,4
slaves,628,216,39,2,5
slay,415,325,9,0,0
slayed,85,24,4,1,1
slaying,65,63,4,0,0
sleazy,135,17,2,1,0
sleep,13854,6165,524,128,114
sleeper,135,51,1,1,2
sleepin,798,364,40,7,9
sleeping,3275,1599,141,17,24
sleepless,486,279,19,8,5
sleeps,730,307,40,8,9
sleepwalking,72,51,0,0,0
sleepy,528,187,17,7,0
sleet,103,44,1,2,1
sleeve,753,360,35,2,3
sleeves,205,190,3,1,2
sleigh,929,310,80,1,0
slender,90,20,2,1,0
slept,791,372,32,6,8
slice,578,191,19,3,5
sliced,130,22,2,0,0
slick,796,289,35,3,6
slid,155,66,3,0,0
slide,1959,833,65,16,9
slides,148,27,10,2,0
slidin,201,76,8,0,2
sliding,286,144,9,9,2
slight,221,73,5,2,1
slightest,145,81,7,0,0
slightly,303,87,4,0,1
slim,879,282,15,1,6
slime,171,62,1,4,3
sling,186,62,8,0,1
slingin,87,31,2,0,0
slip,3109,1310,148,27,35
slipped,894,277,32,3,8
slippers,115,37,5,2,0
slippery,109,107,12,5,0
slippin,757,301,39,2,4
slipping,1019,502,25,7,8
slips,592,197,32,4,4
slit,445,123,7,0,3
slither,93,53,1,2,2
slob,94,34,0,0,2
slope,73,55,4,1,0
sloppy,190,113,15,0,0
slot,133,44,4,1,1
slow,8688,4959,361,51,79
slowed,113,53,5,1,0
slower,237,132,6,3,1
slowing,153,145,4,1,1
slowly,3972,1594,160,44,51
slows,118,65,6,1,0
slug,463,67,4,0,0
slugs,543,90,6,0,0
slum,122,56,6,1,5
slumber,354,137,12,5,3
slums,182,67,7,2,0
slut,422,173,6,0,2
sluts,167,74,2,0,0
sly,236,73,7,2,3
smack,1001,371,26,3,6
smacked,194,57,5,2,2
small,4450,1685,166,54,37
smaller,267,88,3,1,3
smallest,152,69,11,5,0
smart,1227,535,58,12,17
smarter,242,137,4,0,1
smash,1013,454,28,19,7
smashed,329,148,8,2,4
smashin,74,38,4,1,0
smashing,166,98,2,4,1
smeared,102,22,1,0,0
smell,3019,1180,104,19,28
smelled,166,55,6,0,4
smellin,164,65,6,0,0
smelling,160,126,5,0,1
smells,453,196,17,4,4
smile,13107,5717,593,144,131
smiled,1124,365,51,18,10
smiles,1663,623,75,21,12
smilin,448,144,31,4,5
smiling,1877,918,89,60,23
smith,362,151,13,1,1
smoke,5931,3849,217,26,39
smoked,558,223,24,1,2
smoker,74,75,3,0,0
smokers,88,29,2,1,1
smokes,214,79,14,0,2
smokey,221,73,14,3,1
smokin,1672,884,49,6,6
smoking,1124,1453,15,5,8
smoky,133,33,10,2,2
smooth,1357,474,96,11,12
smother,157,73,5,1,2
smothered,132,56,2,0,3
snack,222,50,5,0,0
snake,1047,342,51,5,10
snakes,503,197,13,1,5
snap,790,457,15,3,4
snapped,114,43,2,1,1
snappin,89,44,3,0,1
snapping,97,61,1,0,2
snaps,108,27,6,0,1
snare,115,70,3,0,0
snatch,521,177,15,1,10
snatched,170,54,7,1,1
snatchin,105,21,4,0,11
sneak,407,260,18,2,5
sneakers,231,122,5,0,3
sneakin,187,63,5,9,1
sneaking,233,116,3,2,1
sneaks,63,55,2,0,0
sneaky,119,58,2,6,1
sneeze,92,49,2,0,1
sniff,289,94,1,2,2
sniffin,120,48,7,0,2
sniffing,87,64,3,2,0
sniper,90,39,6,3,1
snitch,404,195,7,0,0
snitches,181,65,9,0,0
snitchin,90,57,0,0,0
snoop,324,219,12,1,0
snooze,118,45,2,1,0
snort,102,51,5,0,1
snot,82,30,2,0,0
snow,4412,1845,250,63,24
snowflakes,148,76,8,2,2
snowing,94,49,3,0,0
snowman,294,108,19,0,2
snows,178,90,2,1,0
snowy,106,31,4,2,0
snub,84,31,1,0,5
snuck,111,57,15,2,1
snuff,106,35,5,3,0
soak,297,139,12,1,4
soaked,407,145,10,1,3
soakin,133,48,8,0,1
soaking,230,150,8,0,1
soap,372,133,6,2,1
soar,353,210,11,1,2
soaring,236,99,8,1,0
sober,570,640,18,1,1
soccer,87,37,1,0,0
social,699,232,13,7,7
society,1028,289,32,11,25
societys,115,25,3,0,7
sock,269,157,5,10,8
socks,463,210,28,7,1
soda,338,257,10,1,1
sodom,108,19,4,0,3
sofa,216,170,1,0,0
soft,2866,1203,150,51,36
soften,80,31,2,3,0
softer,206,84,8,1,8
softly,1291,455,71,19,7
soho,69,61,3,10,0
soil,634,205,9,4,6
solace,143,71,1,1,0
solar,239,119,8,4,2
sold,2574,1013,96,22,14
soldier,1784,739,63,4,21
soldiers,1513,434,43,12,26
sole,251,118,11,0,14
solemn,160,66,2,1,2
soles,118,70,8,1,0
solid,827,413,30,6,8
solitaire,91,54,5,6,2
solitary,252,71,4,0,3
solitude,540,164,34,2,5
solo,1570,763,51,33,29
solution,661,207,21,3,12
solutions,186,46,4,4,3
solve,526,272,10,3,4
solved,155,79,5,3,4
somebody,10138,5165,526,208,114
somebodys,1244,433,65,33,14
someday,4903,1772,264,76,48
somedays,85,35,3,0,1
somehow,4004,1561,160,46,33
someone,18492,7183,833,215,180
someones,1379,508,56,15,26
someplace,232,58,23,2,3
somethin,4422,1432,217,27,26
something,28559,14601,1102,210,297
somethings,1964,780,42,10,26
somethins,99,16,8,0,2
sometime,963,360,58,11,12
sometimes,13842,5686,524,154,127
someway,170,55,4,1,0
somewhat,141,61,3,1,0
somewhere,6211,2566,310,71,71
son,8091,2779,349,69,53
song,18067,9101,707,200,159
songs,4642,2056,143,45,60
sonic,193,106,6,0,0
sonny,262,70,6,3,2
sono,72,80,1,0,0
sons,1234,413,45,21,16
soo,86,84,1,1,0
soon,10476,3979,499,162,89
sooner,810,315,42,7,10
soothe,287,96,21,1,9
soothes,80,35,3,0,1
soothing,177,54,7,3,2
sophisticated,121,103,12,0,7
soprano,103,25,1,0,0
sore,735,289,23,11,3
sores,110,22,2,0,1
sorrow,3555,1205,118,52,23
sorrows,538,234,18,7,2
sorry,7571,3664,316,35,27
sort,761,252,30,5,5
sorta,242,103,3,0,1
sorts,97,42,3,0,1
sos,159,66,8,1,0
sosa,46,177,1,0,0
sought,266,87,3,2,2
soul,23026,9348,1039,256,213
soulja,102,45,0,0,0
soulless,159,56,5,0,0
souls,3635,1139,141,9,26
sound,12034,5892,419,133,137
sounded,265,79,15,1,1
sounding,309,140,5,0,3
sounds,3117,1243,115,23,31
soundtrack,113,50,0,0,0
soup,407,87,11,4,6
sour,527,311,22,11,7
source,749,240,16,4,1
south,3325,1181,132,24,40
southern,1134,414,36,14,22
southside,265,99,1,0,0
souvenir,116,32,12,2,3
souvenirs,123,56,3,1,6
sow,467,169,28,3,2
sowed,84,39,0,0,1
sown,220,76,7,1,2
soy,124,26,2,0,0
space,4698,2248,144,50,27
spaceman,111,41,0,0,1
spaces,330,141,7,2,2
spaceship,99,158,0,0,1
spade,105,48,5,0,1
spades,119,86,8,3,3
spaghetti,87,54,2,0,0
spain,250,115,5,11,7
span,156,31,1,1,1
spangled,102,30,6,0,2
spanish,636,259,33,19,12
spank,154,42,5,0,0
spare,901,340,44,6,8
spared,121,32,6,1,0
spark,1320,881,36,6,9
sparkle,387,162,9,4,2
sparkles,78,50,0,0,0
sparkling,229,109,8,0,3
sparks,477,260,11,1,4
sparrow,198,57,6,0,1
spat,136,43,3,1,2
spawn,159,33,15,2,2
spawned,110,19,2,0,0
speak,6579,3305,244,46,54
speaker,240,148,9,2,1
speakers,359,413,19,0,2
speakin,409,110,12,0,5
speaking,972,556,37,3,15
speaks,803,224,35,11,3
spear,134,44,4,1,2
spears,150,29,3,0,3
special,3671,1739,186,29,55
specially,101,32,6,0,0
species,175,74,8,0,1
spectacular,75,62,1,0,0
speech,513,154,14,2,8
speechless,131,120,4,0,0
speed,2208,1014,73,27,26
speedin,81,50,0,6,1
speeding,282,138,7,1,0
speeds,85,32,1,0,0
spell,2241,1042,90,9,42
spelled,89,34,2,1,1
spells,354,89,11,2,1
spend,5182,2969,217,55,34
spendin,292,149,9,2,1
spending,826,594,30,9,8
spends,120,50,8,2,5
spent,3217,1572,114,28,22
sperm,117,26,1,1,0
sphere,176,33,0,0,1
spheres,108,12,2,0,0
spice,261,129,20,8,2
spider,521,165,13,1,6
spiders,190,53,3,6,4
spies,132,51,3,1,0
spike,200,80,3,2,0
spikes,82,75,2,0,0
spill,775,320,30,4,6
spilled,387,133,7,0,2
spillin,108,40,3,0,0
spilling,287,157,6,1,1
spills,187,51,6,0,2
spilt,107,21,2,0,1
spin,2030,1048,61,4,8
spine,908,343,42,8,11
spineless,88,26,3,1,0
spinnin,819,337,49,4,7
spinning,2102,1125,107,16,18
spins,406,168,14,2,7
spiral,264,97,10,0,0
spirit,3683,1537,147,87,24
spirits,1153,292,49,3,6
spiritual,515,118,22,6,2
spit,3507,1382,74,4,12
spite,735,235,26,3,6
spits,161,40,8,0,1
spittin,670,204,23,0,0
spitting,358,303,1,1,2
splash,283,79,12,0,1
splatter,87,24,2,0,0
splattered,109,34,2,0,0
spleen,92,18,3,0,0
splendid,151,36,9,2,1
splendor,194,76,9,1,2
spliff,299,108,8,0,0
splinter,78,34,4,0,0
splinters,112,25,10,0,3
split,1634,631,41,11,6
splits,100,54,6,0,1
splittin,84,27,2,0,0
splitting,108,54,3,1,4
spoil,285,183,11,0,1
spoiled,186,98,4,1,2
spoke,1330,513,51,13,10
spoken,1387,515,67,17,8
spokes,90,25,1,0,2
spooky,81,32,13,0,0
spoon,497,305,19,14,3
spoonful,69,43,0,0,0
spoons,101,34,3,0,0
sport,434,123,13,0,1
sports,213,90,15,2,1
sposed,73,72,1,0,0
spot,3096,1427,125,8,11
spotlight,440,255,15,7,0
spotlights,78,49,2,1,0
spots,509,141,11,1,4
spotted,198,29,7,1,0
spouse,95,42,2,1,1
spray,789,343,9,0,1
sprayed,229,54,4,0,0
spread,2666,1026,113,22,19
spreadin,147,27,11,1,3
spreading,568,184,17,12,6
spreads,306,69,15,2,1
spree,214,75,5,2,1
spring,1943,953,145,47,13
springs,255,88,10,2,4
springtime,236,75,32,0,5
sprinkle,117,50,40,1,0
sprite,64,147,0,0,0
sprung,297,98,8,0,2
spun,316,109,4,2,1
spurs,116,30,4,0,1
spy,393,91,21,0,23
squad,1040,465,20,0,3
square,1107,436,38,12,9
squares,129,78,4,0,3
squash,95,19,5,0,0
squat,87,43,1,0,0
squeal,131,21,5,0,1
squeeze,1244,471,72,10,8
squeezed,111,37,3,0,2
squeezin,109,42,6,0,3
squeezing,139,57,4,2,1
squirrel,121,24,6,1,0
squirrels,90,24,1,2,0
squirt,83,63,1,0,0
st,918,398,50,10,11
stab,713,194,27,1,7
stabbed,315,118,2,0,1
stabbing,185,65,2,0,7
stable,234,113,27,2,1
stack,1091,595,17,0,1
stacked,276,135,9,0,16
stackin,237,120,3,0,0
stacking,155,199,4,0,0
stacks,608,384,15,6,0
stadium,93,69,2,0,1
staff,178,33,1,3,0
stage,2297,1099,89,18,27
stages,175,53,13,2,5
stagger,196,67,5,0,0
stain,613,284,9,2,1
stained,695,237,21,2,5
stainless,81,33,4,1,1
stains,597,195,19,4,2
stair,103,46,6,1,1
staircase,109,65,7,2,0
stairs,916,352,39,8,13
stairway,166,62,1,0,11
stake,498,162,19,6,6
stakes,283,101,6,0,2
stale,243,58,9,2,4
stalk,180,42,4,2,4
stalker,82,75,0,0,0
stalkin,83,38,1,0,0
stalking,165,75,5,2,0
stall,285,148,6,5,0
stalling,75,57,5,1,0
stallion,124,56,10,0,1
stamina,66,58,2,0,0
stamp,224,97,4,5,1
stampede,82,45,6,0,0
stamps,113,54,2,2,1
stan,134,73,3,0,0
stance,243,105,3,4,0
stand,18533,8634,784,187,265
standard,217,82,3,0,3
standards,186,76,3,1,0
standin,1362,417,78,7,10
standing,7379,3825,332,61,68
stands,1841,629,65,24,17
stank,190,95,6,0,1
star,8592,3879,331,131,113
stardust,130,95,10,6,3
stare,2981,1232,120,17,26
stared,387,143,13,5,2
stares,463,172,23,5,9
starin,500,192,13,1,2
staring,2183,1155,89,21,13
stark,125,50,5,0,2
starlight,488,271,26,3,9
starlit,72,38,4,0,1
starring,177,89,2,3,2
starry,413,191,32,2,9
stars,9734,5916,372,91,108
start,16703,8872,624,149,122
started,6880,3878,237,54,46
starter,85,61,2,0,0
startin,513,144,15,2,8
starting,1707,1077,53,1,16
starts,3185,1553,116,20,23
starvation,141,37,3,1,1
starve,287,110,3,2,3
starved,131,41,4,0,5
starvin,154,50,10,1,0
starving,421,180,21,3,7
stash,556,257,16,1,2
stashed,122,49,6,1,1
state,4086,1539,151,19,61
stated,97,18,7,0,0
statement,152,100,4,0,2
statements,83,49,2,2,0
staten,98,14,1,0,0
states,450,152,17,1,1
static,632,303,23,5,11
station,1351,504,85,22,17
stations,224,68,9,2,2
statue,216,87,7,0,1
statues,162,37,6,2,5
status,531,171,16,1,1
stay,26742,14534,1212,273,284
stayed,1770,914,65,24,11
stayin,597,219,19,27,6
staying,1006,661,39,7,6
stays,1078,573,55,9,7
stead,118,46,10,0,1
steadily,185,41,7,1,0
steady,1996,1005,69,10,24
steak,235,155,7,0,10
steal,3000,1223,130,25,15
stealin,300,114,47,1,3
stealing,692,322,27,3,9
steals,274,92,11,2,3
steam,536,198,21,4,4
steamin,87,24,2,0,0
steaming,142,23,1,1,1
steel,2582,675,108,14,37
steep,179,85,9,2,1
steeple,147,49,9,2,2
steer,322,147,14,2,2
steering,137,77,4,0,1
stella,99,47,2,0,2
stem,120,56,6,0,0
stench,446,66,7,0,8
step,9451,3984,374,60,105
stepped,992,335,34,3,18
steppin,871,258,23,7,14
stepping,702,321,19,7,8
steps,1838,649,58,5,19
stereo,690,310,14,0,7
stern,85,24,4,1,0
steve,421,161,4,3,2
steven,134,33,2,0,1
stevie,141,80,8,1,0
stew,171,21,4,5,1
stick,4326,1621,147,22,34
sticker,87,28,3,0,0
stickin,306,79,15,1,1
sticking,315,159,8,1,4
sticks,691,335,21,11,12
sticky,556,198,13,2,0
stiff,435,101,15,2,3
stilettos,103,75,0,0,0
still,49843,23972,1723,418,389
stillness,203,81,9,3,8
stimulation,85,32,1,1,0
sting,556,258,19,2,3
stinging,90,40,3,1,3
stings,141,84,8,1,0
stink,246,78,9,6,2
stinkin,118,28,13,0,0
stinking,201,81,9,1,1
stinks,183,29,0,0,2
stir,398,155,73,3,42
stirred,107,35,4,2,2
stirring,153,90,10,0,1
stirs,89,26,5,0,0
stitch,230,120,2,1,1
stitched,68,43,0,0,2
stitches,179,112,5,0,0
sto,118,38,1,0,0
stock,484,142,15,8,8
stocking,134,66,4,1,1
stockings,177,93,18,0,4
stocks,117,45,1,1,0
stole,1810,854,69,19,10
stolen,872,311,27,5,7
stomach,810,350,17,8,5
stomachs,110,34,2,0,0
stomp,597,163,33,1,0
stomped,134,31,5,0,1
stompin,186,47,8,1,0
stomping,105,50,4,1,0
stone,4917,2089,301,93,33
stoned,601,319,20,24,3
stones,1512,670,51,7,18
stood,2906,953,123,30,26
stool,164,50,5,7,3
stoop,115,49,6,0,2
stop,28126,14705,1124,196,238
stopped,2314,866,84,19,26
stoppin,576,166,14,0,1
stopping,621,472,16,6,3
stops,1503,699,42,10,11
store,2147,932,78,23,26
stored,82,34,6,0,2
stores,316,94,11,0,1
stories,1840,859,63,11,16
storm,3886,2168,149,30,43
storming,107,37,1,0,0
storms,648,262,19,5,4
stormy,659,232,43,8,18
story,6148,2935,271,61,90
storys,250,99,6,0,2
stout,110,20,2,0,3
stove,193,192,7,3,1
straight,8559,3921,338,44,37
straighten,278,83,28,6,2
strain,603,173,17,4,7
strains,102,38,0,0,0
strait,143,51,2,0,0
strand,112,29,5,2,1
stranded,475,174,28,6,7
strange,4763,1596,253,66,43
strangely,108,42,1,1,1
stranger,2575,939,129,38,107
strangers,1538,670,88,33,17
strangest,331,105,27,1,9
strangle,173,38,4,0,1
strangled,121,32,4,0,3
strap,659,283,19,5,2
strapped,783,312,16,0,3
straps,170,63,4,1,2
strategy,132,40,2,2,0
straw,309,123,11,7,1
strawberry,255,95,14,1,0
stray,606,276,24,6,10
strayed,96,47,7,0,0
streak,188,81,10,0,3
stream,1149,428,59,20,10
streaming,123,60,2,1,1
streams,369,117,9,6,7
street,10518,3670,565,138,149
streetlights,129,44,3,0,0
streets,7953,3237,274,91,114
strenght,99,18,1,1,0
strength,3551,1352,140,33,33
strengthen,92,24,12,0,0
stress,1159,607,30,1,3
stressed,344,188,11,0,0
stressin,295,102,3,0,0
stressing,140,165,5,0,0
stretch,661,294,20,5,4
stretched,356,146,4,1,1
stretches,78,31,4,0,0
stretching,131,88,7,1,1
stricken,133,48,3,2,3
strictly,382,108,27,4,3
stride,365,157,10,7,2
strife,479,127,19,5,7
strike,1636,565,48,10,8
strikes,686,239,18,5,8
striking,209,74,12,2,3
string,1109,514,68,12,13
strings,1095,552,26,18,13
strip,1112,631,25,3,2
stripes,286,170,18,1,9
stripped,474,129,10,2,0
stripper,144,210,1,2,1
strippers,55,191,0,0,0
stripping,69,63,0,1,0
strips,85,53,3,0,1
strive,404,123,11,0,4
striving,142,64,6,0,0
strobe,175,62,4,0,0
stroke,435,369,8,3,1
strokes,139,57,2,0,3
stroll,433,107,17,3,0
strolling,155,67,13,5,3
strong,11221,4313,514,76,115
stronger,2697,1457,102,20,12
strongest,276,101,5,3,0
struck,689,291,29,7,7
structure,184,52,1,0,0
struggle,1521,716,39,22,5
struggled,111,60,9,1,1
struggles,167,94,4,1,4
strugglin,176,34,11,1,1
struggling,390,170,9,3,7
strumming,81,37,7,4,0
strung,464,179,18,6,3
strut,260,163,15,1,6
struttin,71,43,7,0,1
stubborn,229,112,10,0,4
stuck,4240,2609,111,22,25
stud,163,35,11,0,0
student,189,90,5,0,0
students,94,26,9,0,0
studied,131,48,6,1,2
studio,510,342,15,3,1
study,436,180,13,1,2
studying,73,40,1,0,1
stuff,2993,1129,160,24,29
stuffed,253,110,10,4,1
stumble,748,280,36,7,8
stumbled,322,99,13,2,2
stumblin,100,17,3,0,0
stumbling,308,151,15,3,3
stump,117,29,1,2,2
stun,81,36,3,0,0
stung,147,56,3,4,3
stunna,164,168,0,0,0
stunned,136,26,4,0,1
stunning,115,34,0,1,0
stunt,325,346,5,0,1
stuntin,277,254,1,0,0
stunting,51,117,0,0,0
stunts,103,35,5,0,0
stupid,3359,1516,94,7,39
stupidity,112,26,11,4,6
sturdy,95,50,1,0,0
stutter,157,128,3,1,2
style,4988,1924,200,30,40
styles,712,107,23,1,1
stylin,79,46,2,0,1
styrofoam,92,64,0,1,0
su,272,233,15,16,0
suave,102,9,8,0,0
sub,174,134,7,1,3
subconscious,107,19,6,0,0
subject,338,118,14,2,8
sublime,277,90,11,6,1
subliminal,129,31,2,0,0
submarine,79,28,0,23,0
submission,214,62,4,5,0
submit,183,41,6,0,1
subside,140,51,7,0,0
substance,223,97,9,0,0
substitute,181,74,13,1,1
subtle,280,124,7,0,1
suburban,230,71,8,4,1
suburbs,157,42,1,0,0
subway,270,113,13,6,10
succeed,427,161,4,3,4
success,746,398,16,2,4
successful,129,81,0,1,0
succumb,131,45,2,0,0
suck,2389,925,98,12,9
sucka,372,121,17,0,1
suckas,281,93,10,0,1
sucked,440,139,13,5,2
sucker,908,412,47,3,18
suckers,706,167,42,2,6
suckin,446,97,19,3,0
sucking,497,202,10,0,4
sucks,622,205,22,2,8
sudden,774,266,44,9,7
suddenly,2117,876,80,32,20
sue,530,159,13,5,9
suede,254,70,31,1,2
suffer,1664,618,36,16,8
suffered,341,97,17,1,4
sufferin,121,28,9,0,2
suffering,1514,504,26,3,13
suffocate,292,109,5,1,0
suffocating,204,89,1,0,2
suffocation,89,26,2,0,0
