"year","ranking","artist","title"
1968,87,"The Chambers Brothers","Time Has Come Today"
1968,88,"Dionne Warwick","Do You Know the Way to San Jose"
1968,89,"Simon & Garfunkel","Scarborough Fair"
1968,90,"James Brown","Say It Loud – I'm Black and I'm Proud"
1968,91,"Manfred Mann","The Mighty Quinn"
1968,92,"Shorty Long","Here Comes the Judge"
1968,93,"Aretha Franklin","I Say a Little Prayer"
1968,94,"Aretha Franklin","Think"
1968,95,"Gary Lewis and the Playboys","Sealed with a Kiss"
1968,96,"Big Brother and the Holding Company","Piece of My Heart"
1968,97,"Creedence Clearwater Revival","Suzie Q."
1968,98,"The American Breed","Bend Me, Shape Me"
1968,99,"Jerry Butler","Hey, Western Union Man"
1968,100,"Jerry Butler","Never Give You Up"
1969,1,"The Archies","Sugar, Sugar"
1969,2,"The 5th Dimension","Aquarius/Let the Sunshine In"
1969,3,"The Temptations","I Can't Get Next to You"
1969,4,"The Rolling Stones","Honky Tonk Women"
1969,5,"Sly and the Family Stone","Everyday People"
1969,6,"Tommy Roe","Dizzy"
1969,7,"Sly and the Family Stone","Hot Fun in the Summertime"
1969,8,"Tom Jones","I'll Never Fall in Love Again"
1969,9,"The Foundations","Build Me Up Buttercup"
1969,10,"Tommy James and the Shondells","Crimson and Clover"
1969,11,"Three Dog Night","One"
1969,12,"Tommy James and the Shondells","Crystal Blue Persuasion"
1969,13,"The Cowsills","Hair"
1969,14,"Marvin Gaye","Too Busy Thinking About My Baby"
1969,15,"Henry Mancini","Love Theme from Romeo and Juliet"
1969,16,"The Youngbloods","Get Together"
1969,17,"The Friends of Distinction","Grazing in the Grass"
1969,18,"Elvis Presley","Suspicious Minds"
1969,19,"Creedence Clearwater Revival","Proud Mary"
1969,20,"Jr. Walker & The All Stars","What Does It Take (To Win Your Love)"
1969,21,"The Isley Brothers","It's Your Thing"
1969,22,"Neil Diamond","Sweet Caroline"
1969,23,"Oliver","Jean"
1969,24,"Creedence Clearwater Revival","Bad Moon Rising"
1969,25,"The Beatles with Billy Preston","Get Back"
1969,26,"Zager & Evans","In the Year 2525"
1969,27,"Blood, Sweat & Tears","Spinning Wheel"
1969,28,"Andy Kim","Baby, I Love You"
1969,29,"The Friends of Distinction","Going in Circles"
1969,30,"The Lettermen","Hurt So Bad"
1969,31,"Creedence Clearwater Revival","Green River"
1969,32,"Stevie Wonder","My Cherie Amour"
1969,33,"Three Dog Night","Easy to Be Hard"
1969,34,"Smith","Baby It's You"
1969,35,"Elvis Presley","In the Ghetto"
1969,36,"Johnny Cash","A Boy Named Sue"
1969,37,"The Miracles","Baby, Baby Don't Cry"
1969,38,"Jerry Butler","Only the Strong Survive"
1969,39,"The Zombies","Time of the Season"
1969,40,"The 5th Dimension","Wedding Bell Blues"
1969,41,"Bobby Sherman","Little Woman"
1969,42,"Mercy","Love (Can Make You Happy)"
1969,43,"Oliver","Good Morning Starshine"
1969,44,"The Guess Who","These Eyes"
1969,45,"Blood, Sweat & Tears","You've Made Me So Very Happy"
1969,46,"Jackie DeShannon","Put a Little Love in Your Heart"
1969,47,"The Watts 103rd Street Rhythm Band","Do Your Thing"
1969,48,"The Grass Roots","I'd Wait a Million Years"
